# エネルギー準位図用の出力datファイル　  x_i   エネルギー値[hw]   バンドの色番号  密度期待値  スピン多重度  という順で出力してます
 -0.70     1.001530    1    1     2.000000
 -0.50     1.001530    1    1     2.000000
 
  0.50     1.001530    2    0     2.000000
  0.70     1.001530    2    0     2.000000
 
 -0.90     2.018635    1    1     2.000000
 -0.70     2.018635    1    1     2.000000
 
  0.30     2.018635    2    0     2.000000
  0.50     2.018635    2    0     2.000000
 
 -0.50     2.018635    1    0     2.000000
 -0.30     2.018635    1    0     2.000000
 
  0.70     2.018635    2    0     2.000000
  0.90     2.018635    2    0     2.000000
 
 -1.10     3.073755    1    0     2.000000
 -0.90     3.073755    1    0     2.000000
 
  0.10     3.073755    2    0     2.000000
  0.30     3.073755    2    0     2.000000
 
 -0.70     3.076474    1    0     2.000000
 -0.50     3.076474    1    0     2.000000
 
  0.50     3.076474    2    0     2.000000
  0.70     3.076474    2    0     2.000000
 
 -0.30     3.116935    1    0     2.000000
 -0.10     3.116935    1    0     2.000000
 
  0.90     3.116935    2    0     2.000000
  1.10     3.116935    2    0     2.000000
 
